asset_id,condition,tau_hours
SUB-SGW-741,0.0075,5.597
SUB-SGW-742,0.4562,5.527
SUB-SGW-743,0.5344,7.014
SUB-SGW-744,0.2382,6.045
SUB-SGW-745,0.5254,5.364
SUB-SGW-746,0.6831,6.359
SUB-SGW-747,0.2007,5.539
SUB-SGW-748,0.4369,4.54
SUB-SGW-749,0.2623,3.855
SUB-SGW-750,0.2106,4.431
SUB-SGW-751,0.174,4.96
SUB-SGW-752,0.4204,5.175
SUB-SGW-753,0.1539,3.0
SUB-SGW-754,0.7457,4.78
SUB-SGW-755,0.1067,5.029
SUB-SGW-756,0.0846,5.548
SUB-SGW-757,0.4845,6.627
SUB-SGW-758,0.2697,5.186
SUB-SGW-759,0.1791,4.09
SUB-SGW-760,0.33,3.182
SUB-SGW-761,0.193,5.687
SUB-SGW-762,0.0,4.131
SUB-SGW-763,0.2604,5.867
SUB-SGW-764,0.2295,6.397
SUB-SGW-765,0.478,3.456
SUB-SGW-766,0.206,5.554
SUB-SGW-767,0.2919,6.293
SUB-SGW-768,0.4264,6.019
SUB-SGW-769,0.3087,3.0
SUB-SGW-770,0.3856,4.146
SUB-SGW-771,0.2471,3.72
SUB-SGW-772,0.3897,5.523
SUB-SGW-773,0.4462,5.413
SUB-SGW-774,0.1253,3.0
SUB-SGW-775,0.4245,4.699
SUB-SGW-776,0.4016,5.801
SUB-SGW-777,0.0318,5.148
SUB-SGW-778,0.4154,5.146
SUB-SGW-779,0.2917,4.635
SUB-SGW-780,0.2424,3.941
SUB-SGW-781,0.3951,4.983
SUB-SGW-782,0.2285,5.052
SUB-SGW-783,0.6862,5.615
SUB-SGW-784,0.6955,5.696
SUB-SGW-785,0.3891,5.086
SUB-SGW-786,0.4788,6.095
SUB-SGW-787,0.224,4.625
SUB-SGW-788,0.4367,3.556
SUB-SGW-789,0.2046,5.477
SUB-SGW-790,0.3568,5.126
SUB-SGW-791,0.4651,5.497
SUB-SGW-792,0.323,3.736
SUB-SGW-793,0.4769,6.791
SUB-SGW-794,0.5618,5.711
SUB-SGW-795,0.4448,4.712
SUB-SGW-796,0.1963,4.065
SUB-SGW-797,0.5673,6.077
SUB-SGW-798,0.1832,3.898
SUB-SGW-799,0.4554,7.261
SUB-SGW-800,0.1067,4.387
SUB-SGW-801,0.5728,6.721
SUB-SGW-802,0.3185,4.816
SUB-SGW-803,0.1916,6.581
SUB-SGW-804,0.7221,4.265
SUB-SGW-805,0.4743,5.019
SUB-SGW-806,0.2658,5.805
SUB-SGW-807,0.3334,5.662
SUB-SGW-808,0.118,6.101
SUB-SGW-809,0.4899,4.513
SUB-SGW-810,0.5022,5.085
SUB-SGW-811,0.3131,6.248
SUB-SGW-812,0.3911,4.295
SUB-SGW-813,0.4437,5.573
SUB-SGW-814,0.1827,4.781
SUB-SGW-815,0.1862,5.206
SUB-SGW-816,0.3092,5.085
SUB-SGW-817,0.3838,4.212
SUB-SGW-818,0.4097,4.739
SUB-SGW-819,0.302,5.145
SUB-SGW-820,0.6149,4.897
SUB-SGW-821,0.2256,6.573
SUB-SGW-822,0.4274,6.01
SUB-SGW-823,0.4982,5.29
SUB-SGW-824,0.1439,4.237
SUB-SGW-825,0.6901,4.176
SUB-SGW-826,0.3078,6.974
SUB-SGW-827,0.3343,3.99
SUB-SGW-828,0.4243,5.114
SUB-SGW-829,0.3775,5.361
SUB-SGW-830,0.7503,4.689
SUB-SGW-831,0.6604,3.998
SUB-SGW-832,0.5355,4.215
SUB-SGW-833,0.2411,4.453
SUB-SGW-834,0.2356,4.291
SUB-SGW-835,0.338,6.328
SUB-SGW-836,0.121,4.991
SUB-SGW-837,0.5919,4.476
SUB-SGW-838,0.2913,5.107
SUB-SGW-839,0.2488,5.668
SUB-SGW-840,0.4374,4.655
SUB-SGW-841,0.6936,5.902
SUB-SGW-842,0.4311,3.729
SUB-SGW-843,0.4078,6.171
SUB-SGW-844,0.6358,4.991
SUB-SGW-845,0.6522,4.952
SUB-SGW-846,0.2682,4.307
SUB-SGW-847,0.195,3.772
SUB-SGW-848,0.3309,3.333
SUB-SGW-849,0.6205,4.237
SUB-SGW-850,0.4514,5.588
SUB-SGW-851,0.5977,4.039
SUB-SGW-852,0.4119,3.452
SUB-SGW-853,0.7639,4.091
SUB-SGW-854,0.159,4.615
SUB-SGW-855,0.5672,4.654
SUB-SGW-856,0.4776,4.871
SUB-SGW-857,0.7837,6.033
SUB-SGW-858,0.1735,6.249
SUB-SGW-859,0.4292,7.005
SUB-SGW-860,0.2414,3.375
SUB-SGW-861,0.4019,4.144
SUB-SGW-862,0.4727,5.698
SUB-SGW-863,0.381,4.546
SUB-SGW-864,0.6457,5.861
SUB-SGW-865,0.0814,5.207
SUB-SGW-866,0.1285,6.579
SUB-SGW-867,0.1477,6.043
SUB-SGW-868,0.4556,6.061
SUB-SGW-869,0.3407,4.588
SUB-SGW-870,0.0686,4.903
SUB-SGW-871,0.4051,4.695
SUB-SGW-872,0.2403,3.494
SUB-SGW-873,0.7972,6.472
SUB-SGW-874,0.2969,5.745
SUB-SGW-875,0.7532,4.655
SUB-SGW-876,0.2598,6.305
SUB-SGW-877,0.2474,4.37
SUB-SGW-878,0.5042,3.162
SUB-SGW-879,0.7813,6.007
SUB-SGW-880,0.2158,3.721
SUB-SGW-881,0.6067,4.804
SUB-SGW-882,0.4062,5.206
SUB-SGW-883,0.2875,5.385
SUB-SGW-884,0.3856,5.848
SUB-SGW-885,0.4958,5.581
SUB-SGW-886,0.434,5.55
SUB-SGW-887,0.2579,4.209
SUB-SGW-888,0.1357,5.294
SUB-SGW-889,0.5658,3.494
SUB-SGW-890,0.277,6.562
SUB-SGW-891,0.7863,3.597
SUB-SGW-892,0.2945,4.654
SUB-SGW-893,0.0,3.681
SUB-SGW-894,0.1916,4.27
SUB-SGW-895,0.1996,5.013
SUB-SGW-896,0.0436,4.471
SUB-SGW-897,0.3402,6.144
SUB-SGW-898,0.3803,5.227
SUB-SGW-899,0.3239,4.537
SUB-SGW-900,0.4124,4.866
